,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,71,31,0.392156859,0.075388027,15.39506173,0.563753007,6.383525894,15.39506173,703,1247,2.838235294,2,7.513231756
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,62,36,0.26530612,0.100616016,12,0.462837838,4.985135135,12,411,883,2.581901489,7,6.867497169
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,70,37,0.308411212,0.089018303,12.5505618,0.572068039,5.249051935,12.5505618,639,1112,2.822944896,3,7.518884892
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,68,22,0.511111105,0.089820359,11.45977011,0.454363089,4.765653282,11.45977011,453,992,2.626149132,18,6.8125
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,62,23,0.458823524,0.072525597,12.88235294,0.471232877,5.341434327,12.88235294,516,1087,2.629001883,13,7.042318307
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,49,22,0.380281685,0.081142857,13.47457627,0.486792453,5.58454749,13.47457627,387,790,2.630573248,19,7.139240506
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,31,12,0.441860455,0.070723684,10.84,0.498154982,4.535261993,10.84,270,538,2.68490566,8,7.243494424
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,42,13,0.527272718,0.097690941,13.1,0.465648855,5.426259542,13.1,244,523,2.550583658,3,6.940726577
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,71,39,0.290909088,0.08,14.6,0.49238965,6.03695586,14.6,647,1308,2.689388071,10,6.95412844
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,51,61,-0.089285713,0.078817734,11.68269231,0.473251029,4.862377335,11.68269231,575,1208,2.554726368,2,6.995033113
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,41,20,0.344262289,0.071596244,13.57627119,0.564294632,5.656226327,13.57627119,452,798,2.884567127,9,7.681704261
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,35,28,0.111111109,0.067164179,11.24675325,0.466512702,4.68530638,11.24675325,404,865,2.650717703,7,6.838150289
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,63,23,0.465116274,0.092473118,11.925,0.492662474,4.96706499,11.925,470,951,2.674074074,33,7.090431125
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,69,21,0.533333327,0.084507042,11.68235294,0.500503525,4.873142586,11.68235294,497,990,2.749229188,12,7.196969697
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,30,0,0.999999967,0.062240664,16.65384615,0.572748268,6.890637769,16.65384615,248,433,2.962616822,1,7.718244804
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,85,39,0.370967739,0.129032258,88.91666667,0.457357076,35.7496095,88.91666667,488,1067,2.552681992,16,6.730084349
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,22,0,0.999999955,0.037735849,10.97959184,0.56133829,4.616372051,10.97959184,302,536,2.838041431,1,7.559701493
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,19,6,0.519999979,0.041946309,11.86666667,0.580524345,4.978876404,11.86666667,310,534,2.896946565,1,7.938202247
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,3,0.249999969,0.031128405,21.72727273,0.577405858,8.921871434,21.72727273,138,239,3,3,8
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,29,69,-0.408163261,0.10051282,14.56451613,0.520487265,6.034001357,14.56451613,470,898,2.668552036,3,7.14142539
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,22,15,0.189189184,0.063032368,14.83333333,0.488764045,6.128838951,14.83333333,261,534,2.720930233,4,7.121722846
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,60,38,0.224489794,0.082980525,11.53684211,0.469890511,4.802693046,11.53684211,515,1091,2.640148011,10,7.036663611
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,44,3,0.872340407,0.087198516,10.16326531,0.5562249,4.287796082,10.16326531,277,498,2.803680982,5,7.504016064
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,10,1,0.818181744,0.028497409,17,0.481792717,6.992717087,17,172,357,2.764872521,1,7.215686275
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,27,7,0.588235277,0.054226475,14.94871795,0.493996569,6.177085807,14.94871795,288,581,2.634446397,5,6.951807229
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,18,8,0.38461537,0.055555555,16.32,0.522058824,6.736823529,16.32,213,407,2.94,2,7.540540541
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,8,0.428571413,0.078873239,10.125,0.552469136,4.270987654,10.125,179,321,2.987538941,1,7.838006231
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,10,0,0.9999999,0.03875969,15.78571429,0.597285068,6.553199741,15.78571429,132,221,3.114678899,3,8.212669683
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,28,37,-0.138461536,0.10483871,9.474576271,0.43470483,3.96371244,9.474576271,243,552,2.58018018,14,6.876811594
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,13,2,0.733333284,0.057915058,16.71428571,0.551282051,6.906227106,16.71428571,129,233,2.943478261,2,7.682403433
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,38,10,0.583333321,0.081355932,12.11363636,0.596622889,5.084103701,12.11363636,318,533,3.005736138,1,7.806754221
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,6,7,-0.076923071,0.055084746,17.5,0.552380952,7.220952381,17.5,116,208,2.970731707,5,7.8125
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,14,25,-0.282051275,0.117117117,13.375,0.498442368,5.549376947,13.375,160,312,2.788643533,6,7.461538462
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,31,46,-0.194805192,0.063531353,14.03846154,0.543378995,5.832736214,14.03846154,595,1094,2.840073529,17,7.612431444
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,46,23,0.333333329,0.067251462,13.72,0.43537415,5.66214966,13.72,448,1021,2.584415584,19,6.797257591
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,38,26,0.187499997,0.060663507,12.98630137,0.443037975,5.371735738,12.98630137,420,945,2.554712893,17,6.795767196
